club,elo,date
Chelsea,1890.47717285,2015-07-31
Chelsea,1888.00891113,2015-08-07
Chelsea,1881.42224121,2015-08-09
Chelsea,1881.42224121,2015-08-11
Chelsea,1869.85009766,2015-08-17
Chelsea,1871.26550293,2015-08-19
Chelsea,1869.86169434,2015-08-21
Chelsea,1873.41699219,2015-08-24
Chelsea,1875.1159668,2015-08-27
Chelsea,1870.1784668,2015-08-28
Chelsea,1855.88903809,2015-08-30
Chelsea,1840.38195801,2015-09-13
Chelsea,1833.62097168,2015-09-16
Chelsea,1833.08349609,2015-09-17
Chelsea,1834.15588379,2015-09-18
Chelsea,1843.2421875,2015-09-20
Chelsea,1843.2421875,2015-09-21
Chelsea,1843.2421875,2015-09-24
Chelsea,1837.15588379,2015-09-27
Chelsea,1837.15588379,2015-09-28
Chelsea,1824.07714844,2015-09-30
Chelsea,1828.7598877,2015-10-01
Chelsea,1827.25219727,2015-10-02
Chelsea,1809.00610352,2015-10-04
Chelsea,1809.00610352,2015-10-05
Chelsea,1811.69299316,2015-10-18
Chelsea,1817.74694824,2015-10-21
Chelsea,1820.28674316,2015-10-22
Chelsea,1815.22998047,2015-10-23
Chelsea,1803.80493164,2015-10-25
Chelsea,1803.80493164,2015-10-26
Chelsea,1803.80493164,2015-10-29
Chelsea,1803.80493164,2015-10-31
Chelsea,1787.6171875,2015-11-01
Chelsea,1787.6171875,2015-11-02
Chelsea,1793.67687988,2015-11-04
Chelsea,1798.31079102,2015-11-05
Chelsea,1801.47839355,2015-11-06
Chelsea,1791.04406738,2015-11-08
Chelsea,1791.04406738,2015-11-09
Chelsea,1793.79992676,2015-11-22
Chelsea,1793.79992676,2015-11-23
Chelsea,1803.29724121,2015-11-25
Chelsea,1799.62133789,2015-11-26
Chelsea,1801.74133301,2015-11-27
Chelsea,1802.05151367,2015-11-30
Chelsea,1802.05151367,2015-12-03
Chelsea,1787.61157227,2015-12-06
Chelsea,1787.79272461,2015-12-09
Chelsea,1803.68432617,2015-12-10
Chelsea,1804.5333252,2015-12-11
Chelsea,1804.5333252,2015-12-13
Chelsea,1795.1541748,2015-12-15
Chelsea,1798.88330078,2015-12-20
Chelsea,1793.81225586,2015-12-27
Chelsea,1794.94238281,2015-12-29
Chelsea,1794.94238281,2016-01-03
Chelsea,1807.05322266,2016-01-04
Chelsea,1807.05322266,2016-01-11
Chelsea,1801.54150391,2016-01-14
Chelsea,1797.73901367,2016-01-17
Chelsea,1797.73901367,2016-01-24
Chelsea,1808.4777832,2016-01-25
Chelsea,1805.14770508,2016-02-04
Chelsea,1805.14770508,2016-02-06
Chelsea,1805.14770508,2016-02-07
Chelsea,1803.03112793,2016-02-08
Chelsea,1803.03112793,2016-02-13
Chelsea,1808.03393555,2016-02-14
Chelsea,1808.03393555,2016-02-15
Chelsea,1805.6348877,2016-02-17
Chelsea,1804.85583496,2016-02-19
Chelsea,1803.73217773,2016-02-24
Chelsea,1807.31506348,2016-02-25
Chelsea,1816.55578613,2016-02-26
Chelsea,1824.20874023,2016-02-28
Chelsea,1827.86767578,2016-03-02
Chelsea,1827.86767578,2016-03-03
Chelsea,1823.20202637,2016-03-06
Chelsea,1823.20202637,2016-03-07
Chelsea,1812.6887207,2016-03-10
Chelsea,1808.50085449,2016-03-11
Chelsea,1808.59399414,2016-03-16
Chelsea,1808.4342041,2016-03-17
Chelsea,1807.05700684,2016-03-18
Chelsea,1802.82727051,2016-03-20
Chelsea,1808.70336914,2016-04-03
Chelsea,1810.31665039,2016-04-07
Chelsea,1811.67138672,2016-04-08
Chelsea,1800.84399414,2016-04-10
Chelsea,1800.84399414,2016-04-11
Chelsea,1803.43225098,2016-04-13
Chelsea,1807.09814453,2016-04-15
Chelsea,1792.88708496,2016-04-17
Chelsea,1802.09521484,2016-04-24
Chelsea,1802.09521484,2016-04-26
Chelsea,1802.44018555,2016-04-27
Chelsea,1801.06530762,2016-04-29
Chelsea,1800.66760254,2016-05-03
Chelsea,1799.3704834,2016-05-05
Chelsea,1806.79956055,2016-05-06
Chelsea,1795.56542969,2016-05-08
Chelsea,1795.56542969,2016-05-11
Chelsea,1797.68054199,2016-05-12
Chelsea,1797.68054199,2016-05-15
Chelsea,1796.68579102,2016-05-16
Chelsea,1793.01806641,2016-05-19
Chelsea,1791.95422363,2016-07-29
Chelsea,1793.27575684,2016-08-05
Chelsea,1793.27575684,2016-08-15
Chelsea,1798.23327637,2016-08-16
Chelsea,1799.54345703,2016-08-17
Chelsea,1799.54345703,2016-08-18
Chelsea,1799.55651855,2016-08-19
Chelsea,1799.55651855,2016-08-20
Chelsea,1804.85498047,2016-08-21
Chelsea,1804.85498047,2016-08-24
Chelsea,1804.86499023,2016-08-25
Chelsea,1797.7824707,2016-08-26
Chelsea,1803.5098877,2016-08-28
Chelsea,1803.5098877,2016-09-11
Chelsea,1801.26196289,2016-09-12
Chelsea,1802.42028809,2016-09-14
Chelsea,1804.5098877,2016-09-15
Chelsea,1802.86804199,2016-09-16
Chelsea,1793.77246094,2016-09-17
Chelsea,1793.77246094,2016-09-18
Chelsea,1793.77246094,2016-09-19
Chelsea,1784.60656738,2016-09-25
Chelsea,1789.07080078,2016-09-28
Chelsea,1788.30432129,2016-09-29
Chelsea,1787.74853516,2016-09-30
Chelsea,1794.69921875,2016-10-02
Chelsea,1806.05004883,2016-10-16
Chelsea,1806.05004883,2016-10-17
Chelsea,1807.44140625,2016-10-19
Chelsea,1806.52770996,2016-10-20
Chelsea,1805.22961426,2016-10-21
Chelsea,1817.68664551,2016-10-24
Chelsea,1829.57116699,2016-10-31
Chelsea,1834.89550781,2016-11-02
Chelsea,1830.53955078,2016-11-03
Chelsea,1828.7175293,2016-11-04
Chelsea,1837.79748535,2016-11-06
Chelsea,1837.79748535,2016-11-07
Chelsea,1837.79748535,2016-11-20
Chelsea,1841.78710938,2016-11-21
Chelsea,1840.58496094,2016-11-23
Chelsea,1839.50146484,2016-11-24
Chelsea,1838.30493164,2016-11-25
Chelsea,1844.16320801,2016-11-27
Chelsea,1858.55944824,2016-12-04
Chelsea,1859.02734375,2016-12-07
Chelsea,1856.35876465,2016-12-08
Chelsea,1856.64941406,2016-12-09
Chelsea,1859.28552246,2016-12-12
Chelsea,1863.07800293,2016-12-15
Chelsea,1866.94555664,2016-12-18
Chelsea,1866.94555664,2016-12-19
Chelsea,1870.30200195,2016-12-27
Chelsea,1873.78625488,2017-01-01
Chelsea,1863.23718262,2017-01-05
Chelsea,1873.77856445,2017-01-15
Chelsea,1873.77856445,2017-01-22
Chelsea,1875.60400391,2017-01-23
Chelsea,1875.60400391,2017-01-30
Chelsea,1876.14453125,2017-02-01
Chelsea,1884.50354004,2017-02-05
Chelsea,1879.79101562,2017-02-13
Chelsea,1879.79101562,2017-02-15
Chelsea,1876.98828125,2017-02-16
Chelsea,1878.10534668,2017-02-17
Chelsea,1880.41882324,2017-02-22
Chelsea,1881.13659668,2017-02-23
Chelsea,1876.07897949,2017-02-24
Chelsea,1878.72094727,2017-02-26
Chelsea,1878.72094727,2017-03-05
Chelsea,1883.51428223,2017-03-07
Chelsea,1882.50073242,2017-03-08
Chelsea,1883.01745605,2017-03-10
Chelsea,1889.16821289,2017-03-15
Chelsea,1884.08093262,2017-03-16
Chelsea,1885.56408691,2017-03-17
Chelsea,1890.32678223,2017-03-19
Chelsea,1874.82080078,2017-04-02
Chelsea,1879.98388672,2017-04-06
Chelsea,1885.39306641,2017-04-09
Chelsea,1884.98376465,2017-04-13
Chelsea,1885.46118164,2017-04-14
Chelsea,1885.46118164,2017-04-15
Chelsea,1875.20275879,2017-04-17
Chelsea,1874.66674805,2017-04-19
Chelsea,1876.12878418,2017-04-21
Chelsea,1879.77685547,2017-04-26
Chelsea,1892.11560059,2017-05-01
Chelsea,1893.88916016,2017-05-05
Chelsea,1895.96679688,2017-05-09
Chelsea,1896.05773926,2017-05-12
Chelsea,1900.18603516,2017-05-13
Chelsea,1901.60192871,2017-05-16
Chelsea,1903.68286133,2017-05-22
Chelsea,1906.44250488,2017-05-25
Chelsea,1906.46191406,2017-07-28
